com	2673598481
org	304265520
net	267384802
de	205656928
uk	168846878
pl	82716496
ru	76587934
info	73012083
nl	63865755
fr	57607765
it	57169697
jp	51352485
au	47644772
br	38397470
ca	34885440
edu	33770216
cz	31919454
es	30234103
ro	24314778
ch	23773429
se	23523429
cn	22098310
eu	21176891
us	20979439
biz	19670384
ua	18765163
be	17547133
dk	17237868
at	16700746
hu	15915580
gov	13441484
tv	11257982
nz	10990233
no	10720914
ar	10643506
in	10105676
fi	8057061
za	7807622
tk	6972693
sk	6711391
mx	6649092
tw	5633140
ie	5568317
tr	5339761
cc	5296120
gr	5269706
pt	4917728
kr	4664994
me	4466363
cl	4268607
lt	4211638
ws	3839074
il	3809111
vn	3491126
nu	3198196
fm	3113789
ir	3005073
hr	2972707
id	2915921
lv	2644739
si	2632041
sg	2517856
my	2480529
ee	2289856
hk	2223043
cat	2222285
co	2168680
name	1956669
ph	1806710
bg	1690155
rs	1687111
is	1623369
by	1551484
mobi	1480094
pe	1457104
su	1376915
to	1322537
th	1200424
kz	966996
lu	946862
pk	788239
ve	755158
md	752997
am	742657
uy	740998
travel	713272
int	593946
ae	533864
asia	499624
ec	488155
ba	472716
bz	465933
sa	459688
ma	414386
mil	393451
cr	391149
cx	375813
pro	354241
li	346502
eg	345288
la	336107
ge	334942
do	333321
np	329747
st	326570
mk	322710
cd	319637
lk	317232
coop	288483
uz	285619
az	283443
im	258522
py	249463
io	234936
cu	234508
mn	227103
ly	221035
vu	214927
hn	206804
ag	206739
ms	205234
gt	201512
ni	184440
bo	179374
tc	177118
cy	173733
pa	172407
ke	172375
tl	169478
ps	159170
aero	140006
mu	139950
ac	138494
bd	137211
jobs	136030
mt	134373
lb	127906
tel	127160
kg	124102
sv	120203
tn	113409
gd	108777
gs	107345
tt	98235
jo	96747
as	94761
ng	94631
re	93903
vg	92082
sc	90877
vc	90865
gg	89063
mz	82784
dj	79888
sh	79521
nr	79145
ug	78194
pr	71365
al	70276
tm	70163
museum	69595
sm	69013
jm	64123
gl	62177
va	61439
mo	60957
dz	59240
tz	57658
gm	56658
ad	55421
kh	54710
kw	53366
bm	52620
fo	51881
na	51738
nf	47086
qa	47069
om	45477
nc	45195
ky	44865
tj	44394
fj	43361
mp	43108
mc	42636
cm	42248
pg	41567
zw	41064
af	40424
pf	39768
sn	35878
lc	34734
mv	34301
sy	34067
bw	32829
ax	32473
gh	32253
je	31861
bn	30730
gp	30691
tf	29246
mg	28988
bs	26639
bh	25251
bt	24050
bb	24012
ao	23557
vi	20809
ci	20759
ht	20093
et	19840
gi	19441
zm	18859
ne	18770
ai	18131
an	16804
sd	16648
bf	15792
rw	15670
sl	15336
gy	15196
xn--p1ai	15036
mr	14426
ki	14247
sr	13590
mw	13021
iq	12683
cv	11521
ls	11458
mm	11282
pn	10651
ck	9083
hm	9032
ye	8738
bi	7941
dm	7384
ml	7265
sz	7048
aw	6521
bj	5822
sb	5494
xxx	5442
tg	4883
gf	4449
aq	3648
so	3638
mq	2755
lr	2686
ga	2641
fk	2249
kn	2137
cg	1778
yt	1431
gn	1330
cf	1112
td	1041
er	1009
gu	906
gq	564
km	469
pw	406
xn--fiqs8s	297
cw	170
gw	83
arpa	77
pm	51
mh	41
tp	37
wf	9
xn--o3cw4h	9
bv	8
post	5
xn--90a3ac	3
xn--j6w193g	3
gb	2
sx	1
xn--mgbaam7a8h	1
